Group;Viable;Total;No_Viable;SSL Percentatge;Factor;Time;Spore Survival Loss;
2;32;32;0;-3,773584906;0,150943396;13;-0,037735849;
2;33;36;3;4,559748428;0,169811321;13;0,045597484;
2;36;36;0;-3,773584906;0,169811321;13;-0,037735849;
2;36;36;0;-3,773584906;0,169811321;13;-0,037735849;
2;34;36;2;1,78197065;0,169811321;13;0,017819706;
2;33;36;3;4,559748428;0,169811321;13;0,045597484;
3;33;36;3;4,559748428;0,183673469;26;0,045597484;
3;27;32;5;11,85141509;0,163265306;26;0,118514151;
3;32;32;0;-3,773584906;0,163265306;26;-0,037735849;
3;24;28;4;10,51212938;0,142857143;26;0,105121294;
3;31;32;1;-0,648584906;0,163265306;26;-0,006485849;
3;34;36;2;1,78197065;0,183673469;26;0,017819706;
4;34;36;2;1,78197065;0,176470588;32;0,017819706;
4;35;36;1;-0,995807128;0,176470588;32;-0,009958071;
4;28;32;4;8,726415094;0,156862745;32;0,087264151;
4;28;32;4;8,726415094;0,156862745;32;0,087264151;
4;29;32;3;5,601415094;0,156862745;32;0,056014151;
4;29;36;7;15,67085954;0,176470588;32;0,156708595;
5;24;28;4;10,51212938;0,152173913;62;0,105121294;
5;25;32;7;18,10141509;0,173913043;62;0,181014151;
5;34;36;2;1,78197065;0,195652174;62;0,017819706;
5;12;16;4;21,22641509;0,086956522;62;0,212264151;
5;33;36;3;4,559748428;0,195652174;62;0,045597484;
5;32;36;4;7,337526205;0,195652174;62;0,073375262;
