Group;Viable;Total;No_Viable;SSL Percentatge;Factor;Time;Spore Survival Loss
2;34;36;2;0,36687631;0,169811321;11;0,003668763
2;33;36;3;3,144654088;0,169811321;11;0,031446541
2;34;36;2;0,36687631;0,169811321;11;0,003668763
2;33;36;3;3,144654088;0,169811321;11;0,031446541
2;32;32;0;-5,188679245;0,150943396;11;-0,051886792
2;35;36;1;-2,410901468;0,169811321;11;-0,024109015
3;31;36;5;8,700209644;0,173076923;24;0,087002096
3;31;36;5;8,700209644;0,173076923;24;0,087002096
3;28;32;4;7,311320755;0,153846154;24;0,073113208
3;33;36;3;3,144654088;0,173076923;24;0,031446541
3;32;36;4;5,922431866;0,173076923;24;0,059224319
3;27;32;5;10,43632075;0,153846154;24;0,104363208
4;29;36;7;14,2557652;0,173076923;30;0,142557652
4;28;32;4;7,311320755;0,153846154;30;0,073113208
4;25;32;7;16,68632075;0,153846154;30;0,166863208
4;33;36;3;3,144654088;0,173076923;30;0,031446541
4;33;36;3;3,144654088;0,173076923;30;0,031446541
4;25;36;11;25,36687631;0,173076923;30;0,253668763
5;32;36;4;5,922431866;0,173076923;60;0,059224319
5;24;28;4;9,09703504;0,134615385;60;0,09097035
5;33;36;3;3,144654088;0,173076923;60;0,031446541
5;30;36;6;11,47798742;0,173076923;60;0,114779874
5;28;36;8;17,03354298;0,173076923;60;0,17033543
5;29;36;7;14,2557652;0,173076923;60;0,142557652
