Group;Viable;Total;No_Viable;Viability;Factor;Time
2;34;36;2;0,944444444;0,169811321;11
2;33;36;3;0,916666667;0,169811321;11
2;34;36;2;0,944444444;0,169811321;11
2;33;36;3;0,916666667;0,169811321;11
2;32;32;0;1;0,150943396;11
2;35;36;1;0,972222222;0,169811321;11
3;31;36;5;0,861111111;0,173076923;24
3;31;36;5;0,861111111;0,173076923;24
3;28;32;4;0,875;0,153846154;24
3;33;36;3;0,916666667;0,173076923;24
3;32;36;4;0,888888889;0,173076923;24
3;27;32;5;0,84375;0,153846154;24
4;29;36;7;0,805555556;0,173076923;30
4;28;32;4;0,875;0,153846154;30
4;25;32;7;0,78125;0,153846154;30
4;33;36;3;0,916666667;0,173076923;30
4;33;36;3;0,916666667;0,173076923;30
4;25;36;11;0,694444444;0,173076923;30
5;32;36;4;0,888888889;0,173076923;60
5;24;28;4;0,857142857;0,134615385;60
5;33;36;3;0,916666667;0,173076923;60
5;30;36;6;0,833333333;0,173076923;60
5;28;36;8;0,777777778;0,173076923;60
5;29;36;7;0,805555556;0,173076923;60
